gridcell,marram_san,mean_diff,sd_diff,n,mean_15,mean_19,X,Y,dist_HW,ID_sectie,join_ID,join_KRIBV,join_KD,join_KD_nr,join_Opp_m,distance
22250199250.000000000000000,1.000000000000000,-0.025135734072022,0.026170506567003,"361",4.927817174515240,4.902681440443210,"22250","199250",33.845849692289164,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,0.000000000000000
22250199270.000000000000000,0.946428571428571,-0.009576177285319,0.033892811230762,"361",4.475850415512470,4.466274238227150,"22250","199270",14.442999687834902,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,0.000000000000000
22270199210.000000000000000,0.953846153846154,0.135185595567867,0.225748769930800,"361",8.526060941828259,8.661246537396121,"22270","199210",77.502262195726800,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,0.000000000000000
22270199230.000000000000000,0.991341991341991,-0.085930362116992,0.549504508292904,"359",6.580281337047350,6.494350974930360,"22270","199230",58.099412191271647,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22270199250.000000000000000,0.997514910536779,0.010731301939058,0.041940464956892,"361",5.203648199445980,5.214379501385040,"22270","199250",38.696562186817395,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22270199270.000000000000000,0.993846153846154,-0.022742382271468,0.019568472485611,"361",4.634096952908590,4.611354570637120,"22270","199270",19.293712182334012,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199170.000000000000000,0.991071428571428,0.193333333333333,0.221323876803804,"228",8.560675438596490,8.754008771929820,"22290","199170",121.158674699164422,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,0.000000000000000
22290199190.000000000000000,0.998393574297189,0.195660167130919,0.208521936873591,"359",8.465498607242340,8.661158774373259,"22290","199190",101.755824694709275,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199210.000000000000000,0.967372134038800,0.381108033240997,0.286212521984702,"361",7.362193905817180,7.743301939058170,"22290","199210",82.352974690225906,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199230.000000000000000,1.000000000000000,0.218437673130194,0.368038776820405,"361",6.815493074792240,7.033930747922440,"22290","199230",62.950124685771641,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199250.000000000000000,1.000000000000000,0.115831024930748,0.109825779868248,"361",5.452626038781160,5.568457063711910,"22290","199250",43.547274681316502,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199270.000000000000000,0.998698481561822,0.016315789473684,0.036603657983565,"361",4.855027700831030,4.871343490304710,"22290","199270",24.389349033504292,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22290199290.000000000000000,1.000000000000000,0.019518005540166,0.020754258797493,"361",4.446490304709140,4.466008310249310,"22290","199290",6.349440811170198,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199130.000000000000000,0.210762331838566,0.087450000000000,0.183473368477933,"220",9.020345454545447,9.107795454545450,"22310","199130",164.815087202602058,,1,"1",Natuurreservaat Westhoek,"1",163791.929999999993015,15.021201422143989
22310199150.000000000000000,0.469910371318822,0.193519756838906,0.286728605223824,"329",9.031972644376900,9.225492401215799,"22310","199150",145.412237198118675,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199170.000000000000000,0.937448559670782,0.321869806094183,0.208867148638172,"361",8.841567867036010,9.163437673130190,"22310","199170",126.009387193663542,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199190.000000000000000,0.836800000000000,0.086341666666667,0.171433404523825,"360",9.330413888888890,9.416755555555561,"22310","199190",106.662274844284042,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
22310199210.000000000000000,0.961600000000000,0.098155124653740,0.100921494696227,"361",8.420722991689750,8.518878116343490,"22310","199210",87.597647431042333,,2,"2",Natuurreservaat Westhoek,"1",357707.140000000013970,0.000000000000000
