"","Pstd","H","Hstd","volume","error","Int_diff_mean","Int_diff_sd","Int_diff_0.025quant","Int_diff_0.975quant","Int_err_mean","Int_err_sd","Int_err_0.025quant","Int_err_0.975quant"
"fitted.Predictor.00990",0,20,-2.58132059942849,NA,NA,108.705543173113,24.1056101727221,61.4455174675002,155.981613027646,-4.00164407296367,0.169098988970523,-4.32953900442458,-3.66627297088259
"fitted.Predictor.00991",0,20.5,-2.54057087560614,NA,NA,108.316522989373,23.2913570716186,62.6533782226173,153.995952921767,-4.01321870118106,0.164122513447808,-4.3314391504535,-3.68767952703059
"fitted.Predictor.00992",0,21,-2.4998211517838,NA,NA,107.913195473572,22.494911141152,63.8120292650336,152.030914954263,-4.02469791311469,0.159266704445238,-4.33348061315686,-3.70875655324853
"fitted.Predictor.00993",0,21.5,-2.45907142796145,NA,NA,107.495560625064,21.7164275612399,64.9211660888086,150.086803119171,-4.0360816777971,0.154532422525647,-4.3356652109179,-3.72950226019507
"fitted.Predictor.00994",0,22,-2.41832170413911,NA,NA,107.063618443114,20.9560728193413,65.980461976129,148.163943550248,-4.04736996916126,0.149920546496696,-4.33799479387485,-3.74991482589838
"fitted.Predictor.00995",0,22.5,-2.37757198031676,NA,NA,106.617368926883,20.214025401096,66.9895666373637,146.262685872517,-4.05856276738514,0.145431969007523,-4.34047123179034,-3.76999240653999
"fitted.Predictor.00996",0,23,-2.33682225649442,NA,NA,106.15681207542,19.490476461781,67.9481048881917,144.383404516306,-4.06966006041934,0.141067591035791,-4.34309639920067,-3.78973314970473
"fitted.Predictor.00997",0,23.5,-2.29607253267207,NA,NA,105.681947887642,18.7856304553675,68.8556754094691,142.526499948399,-4.08066184570025,0.136828315105104,-4.34587215758228,-3.80913521038782
"fitted.Predictor.00998",0,24,-2.25532280884972,NA,NA,105.192776362323,18.0997056907543,69.7118496494237,140.692399760855,-4.09156813204348,0.132715037062773,-4.34880033430986,-3.82819677001724
"fitted.Predictor.00999",0,24.5,-2.21457308502738,NA,NA,104.689297498073,17.4329347760128,70.5161709452327,138.881559540876,-4.10237894170239,0.128728636245874,-4.35188269823507,-3.84691605875082
"fitted.Predictor.01000",0,25,-2.17382336120503,NA,NA,104.171511293318,16.7855649008522,71.2681539619411,137.094463424498,-4.11309431256321,0.124869963863218,-4.35512093179299,-3.86529138123979
"fitted.Predictor.01001",0,25.5,-2.13307363738269,NA,NA,103.639417746287,16.1578578949889,71.9672845710507,135.331624212262,-4.12371430043269,0.121139829428928,-4.35851659963989,-3.88332114600136
